EVEN,1169,'i-vxn,'I-FIL,4
MOST,1159,most,Brtt,9
MADE,1125,med,BIS,33
ALSO,1069,'cl-so,'cL-tr,3
AFTER,1069,'@f-tR,'IF-tr,1
DID,1044,dId,SIS,22
MANY,1032,'mE-ni,'BI-LI,12
F,1094,Ef,IF,6
BEFORE,1015,bx-'fcr,BI-'Fcr,1
MUST,1012,m^st,BItt,27
THROUGH,987,Tru,Trr,2
BACK,966,b@k,BIK,31
YEARS,953,yirz,KIrt,5
MUCH,937,m^C,BIS,33
WHERE,937,wEr,wIr,2
YOUR,923,yUr,Krr,5
WAY,908,we,wI,3
WELL,931,wEl,wIL,11
DOWN,900,dWn,SWL,1
SHOULD,888,SUd,SrS,8
BECAUSE,883,bx-'kcz,BI-'Kct,1
EACH,878,iC,IS,12
JUST,872,J^st,SItt,10
THOSE,850,Doz,Trt,1
PEOPLE,847,'pi-pxl,'BI-BIL,12
HOW,834,hW,KW,3
TOO,834,tu,tr,8
LITTLE,831,'lI-dxl,'LI-SIL,10
STATE,834,stet,ttIt,2
GOOD,805,gUd,KrS,13
VERY,796,'vEr-i,'FIr-I,3
MAKE,794,mek,BIK,31
WORLD,799,wRld,wrLS,3
STILL,782,stIl,ttIL,7
OWN,772,on,rL,4
SEE,772,si,tI,5
MEN,763,mEn,BIL,33
WORK,762,wRk,wrK,2
LONG,806,lcG,LcK,4
HERE,750,hir,KIr,5
GET,749,gEt,KIt,33
BOTH,731,boT,BrT,4
BETWEEN,730,bx-'twin,BI-'twIL,1
LIFE,715,lAf,LIF,11
BEING,711,'bi-IG,'BI-IK,3
UNDER,710,'^n-dR,'IL-Sr,3
NEVER,697,'nE-vR,'LI-Fr,5
DAY,698,de,SI,8
SAME,686,sem,tIB,22
ANOTHER,684,x-'n^-DR,I-'LI-Tr,1
KNOW,683,no,Lr,4
WHILE,680,'wA-xl,'wI-IL,1
LAST,676,l@st,LItt,11
MIGHT,672,mAt,BIt,44
US,671,^s,It,14
GREAT,665,gret,KrIt,15
OLD,673,old,rLS,4
YEAR,700,yir,KIr,5
OFF,639,cf,cF,1
COME,634,k^m,KIB,30
SINCE,628,sIns,tILt,24
AGAINST,627,x-'gEnst,I-'KILtt,1
GO,626,go,Kr,10
CAME,622,kem,KIB,30
RIGHT,613,rAt,rIt,13
USED,611,yuzd,KrtS,2
THREE,610,Tri,TrI,1
TAKE,610,tek,tIK,22
HIMSELF,603,hIm-'sElf,KIB-'tILF,1
STATES,603,stets,ttItt,2
FEW,601,fyu,FKr,2
HOUSE,591,hWs,KWt,4
USE,591,yus,Krt,16
DURING,588,'dUr-IG,'Srr-IK,1
WITHOUT,583,wIT-'Wt,wIT-'Wt,1
AGAIN,577,x-'gEn,I-'KIL,2
PLACE,579,ples,BLIt,13
AMERICAN,572,x-'mEr-x-kxn,I-'BIr-I-KIL,1
AROUND,562,x-'rWnd,I-'rWLS,1
HOWEVER,552,.hW-'E-vR,.KW-'I-Fr,1
HOME,547,hom,KrB,9
SMALL,548,smcl,tBcL,3
FOUND,536,fAnd,FILS,13
MRS.,534,'mI-sxz,'BI-tIt,9
1,4274,w^n,wIL,11
THOUGHT,517,Tct,Tct,1
WENT,508,wEnt,wILt,15
SAY,504,se,tI,5
PART,504,part,Bcrt,11
ONCE,499,w^ns,wILt,15
HIGH,507,hA,KI,11
GENERAL,520,'JE-nx-rxl,'SI-LI-rIL,1
UPON,495,x-'pcn,I-'BcL,2
SCHOOL,499,skul,tKrL,2
EVERY,491,'Ev-ri,'IF-rI,1
DON'T,489,dont,SrLt,7
DOES,485,d^z,SIt,26
GOT,487,gat,Kct,9
UNITED,482,yU-'nA-dxd,Kr-'LI-SIS,1
LEFT,480,lEft,LIFt,9
NUMBER,535,'n^m-bR,'LIB-Br,3
COURSE,465,kcrs,Kcrt,9
WAR,464,wcr,wcr,1
UNTIL,462,^n-'tIl,IL-'tIL,3
ALWAYS,458,'cl-wiz,'cL-wIt,1
AWAY,456,x-'we,I-'wI,1
FACT,447,f@kt,FIKt,7
2,2110,tu,tr,8
WATER,445,'wa-dR,'wc-Sr,2
THOUGH,440,Do,Tr,2
PUT,438,pUt,Brt,14
PUBLIC,449,'p^-blxk,'BI-BLIK,1
LESS,437,lEs,LIt,24
THINK,433,TIGk,TIKK,2
ALMOST,432,'cl-.most,'cL-.Brtt,1
HAND,431,h@nd,KILS,17
ENOUGH,431,x-'n^f,I-'LIF,2
FAR,426,far,Fcr,2
TOOK,426,tUk,trK,5
HEAD,424,hEd,KIS,27
YET,419,yEt,KIt,33
GOVERNMENT,418,'g^-vRn-mEnt,'KI-FrL-BILt,1
SYSTEM,416,'sI-stxm,'tI-ttIB,1
BETTER,414,'bE-dR,'BI-Sr,17
SET,414,sEt,tIt,20
TOLD,413,told,trLS,5
NIGHT,411,nAt,LIt,24
NOTHING,415,'n^-TIG,'LI-TIK,1
END,409,End,ILS,4
WHY,404,wA,wI,3
EYES,401,Az,It,14
CALLED,401,kcld,KcLS,5
DIDN'T,401,'dI-dxnt,'SI-SILt,1
FIND,400,fAnd,FILS,13
LOOK,399,lUk,LrK,3
GOING,424,'go-IG,'Kr-IK,1
ASKED,398,@skt,ItKt,2
LATER,397,'le-dR,'LI-Sr,10
KNEW,395,nu,Lr,4
POINT,496,pOnt,BrLt,13
NEXT,394,nEkst,LIKtt,1
CITY,393,'sI-di,'tI-SI,5
BUSINESS,393,'bIz-nxs,'BIt-LIt,1
PROGRAM,393,'pro-gr@m,'Brr-KrIB,1
GROUP,390,grup,KrrB,5
GIVE,389,gIv,KIF,13
TOWARD,386,tcrd,tcrS,3
YOUNG,385,y^G,KIK,21
DAYS,384,dez,SIt,26
ROOM,387,rum,rrB,4
LET,383,lEt,LIt,24
PRESIDENT,387,'prE-zx-dEnt,'BrI-tI-SILt,3
SIDE,381,sAd,tIS,17
SOCIAL,391,'so-Sxl,'tr-SIL,4
SEVERAL,378,'sEv-rxl,'tIF-rIL,2
PRESENT,382,'prE-zxnt,'BrI-tILt,6
ORDER,376,'cr-dR,'cr-Sr,3
GIVEN,376,'gI-vxn,'KI-FIL,11
NATIONAL,375,'n@-Sx-nxl,'LI-SI-LIL,1
POSSIBLE,374,'pa-sx-bxl,'Bc-tI-BIL,1
RATHER,373,'r@-DR,'rI-Tr,1
SECOND,382,'sE-kxnd,'tI-KILS,2
PER,377,pR,Br,9
FACE,375,fes,FIt,16
FORM,380,fcrm,FcrB,2
IMPORTANT,374,Im-'pcr-txnt,IB-'Bcr-tILt,2
OFTEN,369,'c-fxn,'c-FIL,2
AMONG,369,x-'m^G,I-'BIK,4
THINGS,368,TIGz,TIKt,1
LOOKED,367,lUkt,LrKt,3
EARLY,366,'R-li,'r-LI,3
WHITE,370,wAt,wIt,11
CASE,362,kes,KIt,33
JOHN,367,Jan,ScL,7
LARGE,368,larJ,LcrS,5
BIG,360,bIg,BIK,31
NEED,360,nid,LIS,17
FOUR,360,fcr,Fcr,2
WITHIN,359,wIT-'In,wIT-'IL,1
BECOME,359,bx-'k^m,BI-'KIB,2
FELT,357,fElt,FILt,17
CHILDREN,355,'CIl-drxn,'SIL-SrIL,1
ALONG,355,x-'lcG,I-'LcK,1
SAW,352,sc,tc,2
BEST,351,bEst,BItt,27
CHURCH,348,CRC,SrS,8
EVER,358,'E-vR,'I-Fr,1
LEAST,343,list,LItt,11
POWER,342,'pW-R,'BW-r,2
DEVELOPMENT,333,dx-'vE-lxp-mxnt,SI-'FI-LIB-BILt,1
SEEMED,333,simd,tIBS,3
LIGHT,333,lAt,LIt,24
THING,333,TIG,TIK,3
FAMILY,331,'f@m-li,'FIB-LI,1
INTEREST,330,'In-trxst,'IL-trItt,1
WANT,333,w^nt,wILt,15
MEMBERS,325,'mEm-bRz,'BIB-Brt,1
MIND,325,mAnd,BILS,26
COUNTRY,324,'k^n-tri,'KIL-trI,2
AREA,324,'Er-i-x,'Ir-I-I,1
OTHERS,323,'^-DRz,'I-Trt,1
ALTHOUGH,321,.cl-'Do,.cL-'Tr,1
TURNED,320,tRnd,trLS,5
DONE,319,d^n,SIL,35
OPEN,318,'o-pxn,'r-BIL,5
GOD,327,gad,KcS,5
SERVICE,318,'sR-vxs,'tr-FIt,4
PROBLEM,313,'pra-blxm,'Brc-BLIB,1
KIND,318,kAnd,KILS,17
CERTAIN,313,'sR-txn,'tr-tIL,2
BEGAN,312,bx-'g@n,BI-'KIL,4
DOOR,312,dcr,Scr,5
DIFFERENT,312,'dI-frxnt,'SI-FrILt,2
HELP,326,hElp,KILB,5
THUS,311,D^s,TIt,5
SENSE,311,sEns,tILt,24
MEANS,310,minz,BILt,37
WHOLE,309,hol,KrL,17
MATTER,308,'m@-dR,'BI-Sr,17
PERHAPS,307,.pR-'h@ps,.Br-'KIBt,1
ITSELF,304,.It-'sElf,.It-'tILF,1
YORK,302,ycrk,KcrK,3
IT'S,302,Its,Itt,7
TIMES,300,tAmz,tIBt,17
LAW,299,lc,Lc,3
HUMAN,299,'hyu-mxn,'KKr-BIL,2
LINE,302,lAn,LIL,16
ABOVE,296,x-'b^v,I-'BIF,1
NAME,300,nem,LIB,19
EXAMPLE,292,Ek-'s@m-pxl,IK-'tIB-BIL,1
ACTION,291,'@k-Sxn,'IK-SIL,2
COMPANY,290,'k^m-px-ni,'KIB-BI-LI,2
HANDS,289,h@ndz,KILSt,3
LOCAL,291,'lo-kxl,'Lr-KIL,1
SHOW,288,So,Sr,9
3,1073,Tri,TrI,1
HISTORY,286,'hI-stx-ri,'KI-ttI-rI,1
WHETHER,286,'wE-DR,'wI-Tr,2
FIVE,286,fAv,FIF,3
GAVE,285,gev,KIF,13
EITHER,284,'i-DR,'I-Tr,3
TODAY,288,tx-'de,tI-'SI,1
SOMETHING,450,'s^m-TIG,'tIB-TIK,1
FEET,283,fit,FIt,16
ACT,283,@kt,IKt,5
ACROSS,282,x-'krcs,I-'Krct,1
TAKEN,281,'te-kxn,'tI-KIL,7
QUITE,281,kwAt,KwIt,3
PAST,281,p@st,BItt,27
ANYTHING,280,'I-ni-.TIG,'I-LI-.TIK,1
HAVING,280,'h@-vIG,'KI-FIK,5
SEEN,279,sin,tIL,25
BODY,280,'ba-di,'Bc-SI,5
EXPERIENCE,276,Ek-'spir-i-xns,IK-'tBIr-I-ILt,1
DEATH,276,dET,SIT,3
WEEK,275,wik,wIK,7
REALLY,275,'ri-li,'rI-LI,4
HALF,355,h@f,KIF,13
WORDS,274,wRdz,wrSt,2
FIELD,274,fild,FILS,13
WORD,274,wRd,wrS,3
CAR,274,kar,Kcr,5
ALREADY,273,.cl-'rE-di,.cL-'rI-SI,1
THEMSELVES,270,DEm-'sElvz,TIB-'tILFt,1
I'M,269,Am,IB,9
INFORMATION,269,.In-fR-'me-Sxn,.IL-Fr-'BI-SIL,1
SHALL,268,S@l,SIL,35
TELL,268,tEl,tIL,25
COLLEGE,267,'ka-lxJ,'Kc-LIS,1
TOGETHER,267,tx-'gE-DR,tI-'KI-Tr,1
MONEY,265,'m^-ni,'BI-LI,12
PERIOD,265,'pir-i-xd,'BIr-I-IS,2
KEEP,264,kip,KIB,30
HELD,264,hEld,KILS,17
SURE,263,SUr,Srr,5
PROBABLY,261,'pra-bx-bli,'Brc-BI-BLI,1
FREE,263,fri,FrI,3
SEEMS,259,simz,tIBt,17
POLITICAL,258,px-'lI-dx-kxl,BI-'LI-SI-KIL,1
CANNOT,258,kx-'nat,KI-'Lct,1
REAL,258,ril,rIL,8
BEHIND,258,bx-'hAnd,BI-'KILS,2
AIR,257,Er,Ir,2
QUESTION,257,'kwEs-Cxn,'KwIt-SIL,1
OFFICE,255,'c-fxs,'c-FIt,1
MAKING,255,'me-kIG,'BI-KIK,8
BROUGHT,253,brct,Brct,1
MISS,253,mIs,BIt,44
WHOSE,251,huz,Krt,16
SPECIAL,250,'spE-Sxl,'tBI-SIL,3
HEARD,248,hRd,KrS,13
MAJOR,247,'me-JR,'BI-Sr,17
PROBLEMS,247,'pra-blxmz,'Brc-BLIBt,1
BECAME,246,bx-'kem,BI-'KIB,2
STUDY,246,'st^-di,'ttI-SI,3
FEDERAL,246,'fE-dx-rxl,'FI-SI-rIL,2
MOMENT,246,'mo-mxnt,'Br-BILt,2
AGO,246,x-'go,I-'Kr,3
KNOWN,262,non,LrL,7
AVAILABLE,245,x-'ve-lx-bxl,I-'FI-LI-BIL,1
RESULT,244,rx-'z^lt,rI-'tILt,3
STREET,244,strit,ttrIt,5
ECONOMIC,246,.E-kx-'na-mxk,.I-KI-'Lc-BIK,1
BOY,242,bO,Br,9
POSITION,241,px-'zI-Sxn,BI-'tI-SIL,3
REASON,241,'ri-zxn,'rI-tIL,7
SOUTH,243,sWT,tWT,1
CHANGE,240,CenJ,SILS,9
BOARD,239,bcrd,BcrS,11
INDIVIDUAL,239,.In-dx-'vI-JU-xl,.IL-SI-'FI-Sr-IL,1
JOB,238,Jab,ScB,5
SOCIETY,237,sx-'sA-x-ti,tI-'tI-I-tI,2
AREAS,236,'Er-i-xz,'Ir-I-It,1
WEST,242,wEst,wItt,7
CLOSE,234,klos,KLrt,4
TURN,238,tRn,trL,11
LOVE,232,l^v,LIF,11
TRUE,231,tru,trr,5
COMMUNITY,231,kx-'myu-nx-ti,KI-'BKr-LI-tI,1
COURT,230,kcrt,Kcrt,9
FULL,230,fUl,FrL,9
FORCE,230,fcrs,Fcrt,5
COST,238,kcst,Kctt,3
SEEM,229,sim,tIB,22
AM,229,@m,IB,9
WIFE,228,wAf,wIF,6
FUTURE,227,'fyu-CR,'FKr-Sr,1
AGE,227,eJ,IS,12
WANTED,226,'w^n-txd,'wIL-tIS,1
VOICE,226,vOs,Frt,6
DEPARTMENT,230,dx-'part-mxnt,SI-'Bcrt-BILt,2
CENTER,224,'sEn-tR,'tIL-tr,2
WOMAN,224,'wU-mxn,'wr-BIL,1
COMMON,223,'ka-mxn,'Kc-BIL,4
CONTROL,223,kxn-'trol,KIL-'trrL,1
POLICY,222,'pa-lx-si,'Bc-LI-tI,2
NECESSARY,222,'nE-sx-.sEr-i,'LI-tI-.tIr-I,1
FRONT,221,fr^nt,FrILt,3
SOMETIMES,221,'s^m-.tAmz,'tIB-.tIBt,1
FOLLOWING,221,'fa-lo-IG,'Fc-Lr-IK,1
SIX,221,sIks,tIKt,12
GIRL,220,gRl,KrL,17
CLEAR,225,klir,KLIr,3
LAND,218,l@nd,LILS,9
FURTHER,218,'fR-DR,'Fr-Tr,1
PROVIDE,216,prx-'vAd,BrI-'FIS,1
MUSIC,216,'myu-zxk,'BKr-tIK,1
FEEL,216,fil,FIL,17
PARTY,216,'par-di,'Bcr-SI,2
ABLE,216,'e-bxl,'I-BIL,2
MOTHER,216,'m^-DR,'BI-Tr,1
EDUCATION,214,.E-JU-'ke-Sxn,.I-Sr-'KI-SIL,1
UNIVERSITY,214,.yu-nx-'vR-sx-ti,.Kr-LI-'Fr-tI-tI,1
RUN,221,r^n,rIL,8
STUDENTS,213,'stu-dxnts,'ttr-SILtt,1
CHILD,213,CAld,SILS,9
EFFECT,213,x-'fEkt,I-'FIKt,2
LEVEL,213,'lE-vxl,'LI-FIL,4
TOWN,224,tWn,tWL,1
SHORT,226,Scrt,Scrt,7
STOOD,212,stUd,ttrS,3
MILITARY,212,'mI-lx-.tEr-i,'BI-LI-.tIr-I,1
TOTAL,211,'to-dxl,'tr-SIL,4
MORNING,211,'mcr-nIG,'Bcr-LIK,1
OUTSIDE,210,.Wt-'sAd,.Wt-'tIS,1
RATE,209,ret,rIt,13
FIGURE,280,'fIg-yR,'FIK-Kr,2
ART,208,art,crt,2
CENTURY,241,'sEn-Cx-ri,'tIL-SI-rI,1
CLASS,256,kl@s,KLIt,5
WASHINGTON,210,'w^-SIG-txn,'wI-SIK-tIL,1
USUALLY,206,'yu-ZU-xl-i,'Kr-Sr-IL-I,1
4,641,fcr,Fcr,2
NORTH,206,ncrT,LcrT,1
PLAN,205,pl@n,BLIL,3
THEREFORE,205,'DEr-.fcr,'TIr-.Fcr,1
LEAVE,205,liv,LIF,11
EVIDENCE,204,'E-vx-dEns,'I-FI-SILt,1
SOUND,204,sWnd,tWLS,1
TOP,204,tap,tcB,4
MILLION,207,'mIl-yxn,'BIL-KIL,8
HARD,213,hard,KcrS,9
BLACK,207,bl@k,BLIK,7
STRONG,202,strcG,ttrcK,1
TAX,201,t@ks,tIKt,12
VARIOUS,201,'vEr-i-xs,'FIr-I-It,1
TYPE,200,tAp,tIB,22
PLAY,200,ple,BLI,3
BELIEVE,200,bx-'liv,BI-'LIF,2
SAYS,200,sEz,tIt,20
SURFACE,217,'sR-fxs,'tr-FIt,4
VALUE,200,'v@l-.yu,'FIL-.Kr,2
SOON,199,sun,trL,11
MEAN,199,min,BIL,33
PEACE,198,pis,BIt,44
LINES,198,lAnz,LILt,10
TABLE,198,'te-bxl,'tI-BIL,10
MODERN,198,'ma-dRn,'Bc-SrL,1
NEAR,198,nir,LIr,3
ROAD,197,rod,rrS,4
RED,197,rEd,rIS,12
BOOK,197,bUk,BrK,6
MINUTES,196,'mI-nxts,'BI-LItt,3
PERSONAL,196,'pR-sx-nxl,'Br-tI-LIL,1
SITUATION,196,.sI-CU-'e-Sxn,.tI-Sr-'I-SIL,1
PROCESS,196,'pra-.sEs,'Brc-.tIt,1
ENGLISH,195,'IG-glxS,'IK-KLIS,1
SCHOOLS,195,skulz,tKrLt,1
NOR,195,ncr,Lcr,2
INCREASE,195,'In-.kris,'IL-.KrIt,3
WOMEN,195,'wI-mxn,'wI-BIL,3
GONE,195,gcn,KcL,9
ALONE,195,x-'lon,I-'LrL,2
IDEA,195,.A-'di-x,.I-'SI-I,1
AMERICA,194,x-'mEr-I-kx,I-'BIr-I-KI,1
LIVING,197,'lI-vIG,'LI-FIK,4
STARTED,194,'star-dxd,'ttcr-SIS,1
LONGER,193,'lcG-gR,'LcK-Kr,1
CUT,198,k^t,KIt,33
FINALLY,191,'fA-nx-li,'FI-LI-LI,3
NATURE,191,'ne-CR,'LI-Sr,10
PRIVATE,191,'prA-vxt,'BrI-FIt,5
SECRETARY,210,'sE-krx-.tEr-i,'tI-KrI-.tIr-I,1
THIRD,216,TRd,TrS,1
SECTION,189,'sEk-Sxn,'tIK-SIL,2
MONTHS,189,m^nTs,BILTt,1
GREATER,188,'gre-dR,'KrI-Sr,5
CALL,188,kcl,KcL,9
THAT'S,187,D@ts,TItt,1
FIRE,194,'fA-R,'FI-r,2
NEEDED,187,'ni-dxd,'LI-SIS,3
EXPECTED,187,Ek-'spEk-txd,IK-'tBIK-tIS,1
VIEW,186,vyu,FKr,2
KEPT,190,kEpt,KIBt,14
VALUES,186,'v@l-.yuz,'FIL-.Krt,1
GROUND,186,grWnd,KrWLS,2
EVERYTHING,185,'Ev-ri-.TIG,'IF-rI-.TIK,1
PRESSURE,188,'prE-SR,'BrI-Sr,4
DARK,185,dark,ScrK,3
SPACE,184,spes,tBIt,8
BASIS,184,'be-sxs,'BI-tIt,9
FATHER,183,'fa-DR,'Fc-Tr,1
EAST,190,ist,Itt,7
SPIRIT,182,'spir-xt,'tBIr-It,1
UNION,182,'yun-yxn,'KrL-KIL,1
COMPLETE,182,kxm-'plit,KIB-'BLIt,1
REQUIRED,181,rx-'kwA-Rd,rI-'KwI-rS,1
WROTE,181,rot,rrt,5
I'LL,181,'A-xl,'I-IL,1
EXCEPT,181,Ek-'sEpt,IK-'tIBt,4
MOVED,181,muvd,BrFS,1
RETURN,180,rx-'tRn,rI-'trL,1
SUPPORT,180,sx-'pcrt,tI-'Bcrt,1
CONDITIONS,180,kxn-'dI-Sxnz,KIL-'SI-SILt,1
ATTENTION,179,x-'tEn-Sxn,I-'tIL-SIL,3
LATE,179,let,LIt,24
RECENT,179,'ri-sxnt,'rI-tILt,4
PARTICULAR,179,pxr-'tIk-yU-lR,BIr-'tIK-Kr-Lr,1
HOPE,177,hop,KrB,9
LIVE,177,lIv,LIF,11
BROWN,176,brWn,BrWL,1
COSTS,176,kcsts,Kcttt,1
ELSE,176,Els,ILt,6
NATIONS,175,'ne-Sxnz,'LI-SILt,2
STAGE,182,steJ,ttIS,7
COULDN'T,175,'kU-dxnt,'Kr-SILt,3
BEYOND,175,bx-'yand,BI-'KcLS,1
FORCES,175,'fcr-sxs,'Fcr-tIt,1
DEAD,174,dEd,SIS,22
REPORT,174,rx-'pcrt,rI-'Bcrt,2
PERSON,174,'pR-sxn,'Br-tIL,5
HOURS,174,'W-Rz,'W-rt,1
TAKING,174,'te-kIG,'tI-KIK,6
MATERIAL,174,mx-'tir-i-xl,BI-'tIr-I-IL,1
COMING,177,'k^-mIG,'KI-BIK,5
READ,174,rid,rIS,12
INSIDE,174,.In-'sAd,.IL-'tIS,1
MILES,179,'mA-xlz,'BI-ILt,1
DATA,173,'de-dx,'SI-SI,7
INSTEAD,173,.In-'stEd,.IL-'ttIS,1
LOW,182,lo,Lr,4
LOOKING,178,'lU-kIG,'Lr-KIK,2
LOST,173,lcst,Lctt,2
HEART,173,hart,Kcrt,9
FEELING,172,'fi-lIG,'FI-LIK,7
AMOUNT,172,x-'mWnt,I-'BWLt,1
ADDED,172,'@-dxd,'I-SIS,4
FOLLOWED,172,'fa-.lod,'Fc-.LrS,1
MAKES,172,meks,BIKt,20
PAY,172,pe,BI,9
SINGLE,183,'SIG-gxl,'SIK-KIL,7
MOVE,171,muv,BrF,3
HUNDRED,732,'h^n-drxd,'KIL-SrIS,2
INCLUDING,171,.In-'klu-dIG,.IL-'KLr-SIK,1
RESEARCH,174,'ri-.sRC,'rI-.trS,1
SIMPLY,171,'sIm-pli,'tIB-BLI,1
INDUSTRY,171,'In-dx-stri,'IL-SI-ttrI,1
BASIC,171,'be-sxk,'BI-tIK,7
COLD,171,kold,KrLS,8
TRIED,170,trAd,trIS,5
DEVELOPED,170,dx-'vE-lxpt,SI-'FI-LIBt,2
HOLD,169,hold,KrLS,8
REACHED,169,riCt,rISt,7
CAN'T,169,k@nt,KILt,19
COMMITTEE,168,kx-'mI-di,KI-'BI-SI,1
ISLAND,167,'A-lxnd,'I-LILS,1
DEFENSE,167,'di-.fEns,'SI-.FILt,1
EQUIPMENT,167,x-'kwIp-mxnt,I-'KwIB-BILt,1
ACTUALLY,166,'@k-CU-xl-i,'IK-Sr-IL-I,1
SHOWN,166,Son,SrL,10
CENTRAL,165,'sEn-trxl,'tIL-trIL,1
SON,169,s^n,tIL,25
RIVER,165,'rI-vR,'rI-Fr,3
GETTING,165,'gE-dIG,'KI-SIK,12
RELIGIOUS,165,rx-'lI-Jxs,rI-'LI-SIt,1
TEN,164,tEn,tIL,25
BEGINNING,164,bx-'gI-nIG,BI-'KI-LIK,4
SORT,164,scrt,tcrt,5
DOING,163,'du-IG,'Sr-IK,3
RECEIVED,163,rx-'sivd,rI-'tIFS,1
REST,163,rEst,rItt,7
TERMS,163,tRmz,trBt,3
CARE,162,kEr,KIr,5
MEDICAL,162,'mE-dx-kxl,'BI-SI-KIL,3
ESPECIALLY,162,E-'spE-Sx-li,I-'tBI-SI-LI,1
TRYING,162,'trA-IG,'trI-IK,1
ADMINISTRATION,162,xd-.mI-nx-'stre-Sxn,IS-.BI-LI-'ttrI-SIL,1
U.S.,162,.yu-'Es,.Kr-'It,1
PICTURE,162,'pIk-CR,'BIK-Sr,2
INDEED,162,In-'did,IL-'SIS,1
DIFFICULT,161,'dI-fx-k^lt,'SI-FI-KILt,1
FRIENDS,161,frEndz,FrILSt,1
SUBJECT,161,'s^b-Jxkt,'tIB-SIKt,1
FINE,166,fAn,FIL,17
SIMPLE,160,'sIm-pxl,'tIB-BIL,5
HIGHER,160,'hA-R,'KI-r,1
BUILDING,163,'bIl-dIG,'BIL-SIK,7
WALL,164,wcl,wcL,2
WALKED,159,'wckt,'wcKt,1
MEETING,159,'mi-dIG,'BI-SIK,13
FLOOR,158,flcr,FLcr,1
BRING,158,brIG,BrIK,8
FOREIGN,158,'fcr-xn,'Fcr-IL,1
PASSED,157,p@st,BItt,27
SIMILAR,157,'sI-mx-lR,'tI-BI-Lr,1
PAPER,157,'pe-pR,'BI-Br,5
RANGE,199,renJ,rILS,7
PROPERTY,156,'pra-pR-ti,'Brc-Br-tI,1
NATURAL,156,'n@-Cx-rxl,'LI-SI-rIL,3
TRAINING,156,'tre-nIG,'trI-LIK,2
FINAL,156,'fA-nxl,'FI-LIL,8
INTERNATIONAL,155,.In-tR-'n@-Sx-nxl,.IL-tr-'LI-SI-LIL,1
POLICE,155,px-'lis,BI-'LIt,3
MARKET,155,'mar-kxt,'Bcr-KIt,3
CENT,155,sEnt,tILt,24
COUNTY,155,'kWn-ti,'KWL-tI,1
GROWTH,155,groT,KrrT,1
ENGLAND,154,'IG-glxnd,'IK-KLILS,1
WRITTEN,154,'rI-txn,'rI-tIL,7
WASN'T,154,'w^-zxnt,'wI-tILt,1
TALK,154,tck,tcK,5
START,154,start,ttcrt,3
STORY,166,'stcr-i,'ttcr-I,1
SUDDENLY,153,'s^-dxn-li,'tI-SIL-LI,1
HEAR,153,hir,KIr,5
ANSWER,152,'@n-sR,'IL-tr,5
